uri,name,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3
spotify:artist:0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star,1.674626211,0.139427437,0.011573962,-0.005389907,5,-1.278837178,-0.513487118,0.718267039,0.011573962,-0.005389907,-0.014737025,5
spotify:artist:0KWcq2E8ejxp78jdfpCd4K,KeKe Wyatt,-0.609009927,-0.260168232,0.019568399,-0.00584375,5,-0.662130925,-0.461420506,0.945698954,0.019568399,-0.00584375,-0.000985493,5
spotify:artist:0KyCXNSa7ZMb5LydfKbLG3,David Lee Roth,-0.45825145,-0.363923509,-0.012030304,0.000767842,0,-1.370261146,1.672490994,0.837817756,-0.012030304,0.000767842,-0.004198826,0
spotify:artist:0L9xkvBPcEp1nrhDrodxc5,Level 42,-1.057767968,-0.565947938,-0.010264417,0.000365704,0,-0.316226223,-0.183633073,-0.848524416,-0.010264417,0.000365704,-0.0031078,0
spotify:artist:0MAvx5yzdhylg2ztJC3MD3,Robin Trower,-0.233539771,-0.070475314,-0.011934571,0.000746194,0,0.205653495,0.269066169,-0.0015479,-0.011934571,0.000746194,-0.00370205,0
spotify:artist:0MBIKH9DjtBkv8O3nS6szj,"10,000 Maniacs",-1.092856142,-0.873410055,-0.013120581,0.001599257,0,-0.546607119,-0.198287033,-0.553938481,-0.013120581,0.001599257,0.053385282,0
spotify:artist:0MponVSpW81oLvJZ53vYZH,The Marvelettes,-0.00918149,0.236766272,0.010829536,-0.005571971,0,0.221578755,0.255560634,0.171025283,0.010829536,-0.005571971,-0.015949539,0
spotify:artist:0NCXrh1XOnHNp4mM0JUFJw,Nicolette Larson,-1.366203262,-2.541037595,-0.011552216,0.00067431,4,-1.359528947,-1.640329404,-1.087521451,-0.011552216,0.00067431,-0.002280793,4
spotify:artist:0NnCgUxhtWt1yBtpDyvFQf,Black Sheep,-4.100059929,6.411515791,0.025505972,0.084833455,1,7.007955402,1.737262765,-2.124549606,0.025505972,0.084833455,0.008321342,1
spotify:artist:0O0lrN34wrcuBenkqlEDZe,The Psychedelic Furs,-1.145706383,-1.109416346,-0.010760172,0.000476496,0,-0.098864912,0.093584951,-0.511161765,-0.010760172,0.000476496,-0.00323946,0
spotify:artist:0OtigLoCgLYvXnMxbE5qH5,Lost Boyz,-4.087844032,6.378399621,0.02563529,0.086314064,1,6.960473741,1.719930817,-2.100251042,0.02563529,0.086314064,0.008526315,1
spotify:artist:0PDqlUGugF5Jt6DZyATvfz,Betty Wright,-0.629172971,-0.073899611,0.010148003,-0.005206902,0,-0.078422973,-0.008142541,-0.130637798,0.010148003,-0.005206902,-0.014752338,0
spotify:artist:0PcIlEZa7rreM7729ot05g,Stephanie Mills,1.592556847,-0.205601715,0.012535477,-0.005183539,5,-0.647623184,-1.105329137,0.541432942,0.012535477,-0.005183539,-0.013355136,5
spotify:artist:0S1SjYebdSaiMpI8xSW2Wb,Donald Fagen,-0.616268746,-0.407736658,-0.011623969,0.000684414,0,-0.304207851,-0.331626918,-0.268313835,-0.011623969,0.000684414,-0.002777588,0
spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,Helen Reddy,-1.951727872,-2.863008852,-0.011498202,0.000663296,4,-1.517572368,-1.823605125,-1.254178238,-0.011498202,0.000663296,-0.002209429,4
spotify:artist:0TF2NxkJZPQoX1H53rEFM1,Gladys Knight & The Pips,-1.502241258,-0.949126642,0.010816431,-0.005549018,0,-0.7506275,-0.624289834,-0.418948654,0.010816431,-0.005549018,-0.015857403,0
spotify:artist:0U2mUJuJkthantMGmsJygP,Jerry Butler,-0.663715772,-0.073316583,0.010820695,-0.005482893,0,-0.073286485,0.017799531,-0.067579784,0.010820695,-0.005482893,-0.015568824,0
spotify:artist:0UbkL4O5WmWWH8RZOweBZK,X-Clan,-5.214194706,8.299925507,0.02559565,0.085856549,1,6.979127944,1.726711521,-2.108364362,0.02559565,0.085856549,0.008462686,1
spotify:artist:0VdoLGGpWcDZnzep6SSTdP,Montrose,-1.464893981,-2.043436621,-0.011862943,0.000730477,0,-1.978755495,0.224139909,-0.544715782,-0.011862943,0.000730477,-0.003745592,0
spotify:artist:0WUphJOGHE5i95IeR87hsO,China Crisis,-0.026150211,-1.262045296,-0.01048647,0.000413287,0,-0.278679655,-0.071002291,-0.452402971,-0.01048647,0.000413287,-0.003193623,0
