,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
191,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Nicolette Larson,53074,bubblegum pop; classic uk pop; country rock; mellow gold; soft rock; yacht rock,44,artist,spotify:artist:0NCXrh1XOnHNp4mM0JUFJw
192,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Linda Ronstadt,731936,adult standards; classic rock; country rock; folk; folk rock; heartland rock; mellow gold; singer-songwriter; soft rock,62,artist,spotify:artist:1sXbwvCQLGZnaH0Jp2HTVc
193,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Orleans,140529,album rock; bubblegum pop; classic rock; country rock; folk rock; mellow gold; singer-songwriter; soft rock; yacht rock,53,artist,spotify:artist:1667U2YoucgG5Pdvm2M59c
194,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Janis Ian,127187,classic uk pop; folk; folk rock; mellow gold; singer-songwriter,46,artist,spotify:artist:5c9uFWpZY2MTlk7Rft0tgp
195,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Firefall,179950,album rock; classic rock; country rock; folk rock; mellow gold; singer-songwriter; soft rock,45,artist,spotify:artist:1tfXh4XxILEuMU2qZupFn8
196,spotify:artist:4FtSnMlCVxCswABUmdhwpm,David Gates,157656,adult standards; classic uk pop; folk rock; mellow gold; singer-songwriter; soft rock,47,artist,spotify:artist:5BmXbfqAgfkuTkPlVQDKOW
197,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Harry Chapin,298435,classic rock; country rock; folk; folk rock; mellow gold; singer-songwriter; soft rock,52,artist,spotify:artist:42q4Ivs7tAiCZ5C7eG5q4c
198,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Judy Collins,215851,american folk revival; classic uk pop; folk; folk rock; mellow gold; singer-songwriter,47,artist,spotify:artist:5yzE49FicYiSxN61oaxkNn
199,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Paul Davis,115857,album rock; bubblegum pop; country rock; folk rock; mellow gold; soft rock; yacht rock,46,artist,spotify:artist:6EJmqnuK0r6qiAevFFiNNR
200,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Bachman-Turner Overdrive,836480,album rock; art rock; blues rock; classic canadian rock; classic rock; country rock; folk rock; hard rock; mellow gold; rock; singer-songwriter; soft rock,60,artist,spotify:artist:5q4AzEtCoYJyXjMMoEkSU5
201,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,James Gang,307172,album rock; art rock; blues rock; british blues; classic rock; country rock; folk rock; hard rock; mellow gold; rock; roots rock; singer-songwriter; soft rock; southern rock; symphonic rock,52,artist,spotify:artist:5hfOHpGMsi8O3DA0ROLGqF
202,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Molly Hatchet,501974,album rock; blues rock; classic rock; country rock; hard rock; mellow gold; rock; soft rock; southern rock,49,artist,spotify:artist:4ZqBwBVB3dsYWL3d5Spi10
203,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Head East,144885,album rock; blues rock; classic rock; country rock; hard rock; mellow gold; soft rock; southern rock,44,artist,spotify:artist:55UamRmLvoS6q7iWPzUrCC
204,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Montrose,182959,album rock; blues rock; classic rock; country rock; glam metal; hard rock; metal; rock; southern rock,45,artist,spotify:artist:0VdoLGGpWcDZnzep6SSTdP
205,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,The Edgar Winter Group,222046,album rock; blues rock; classic rock; country rock; hard rock; soft rock,49,artist,spotify:artist:7j9PMegEgVN1fNp8NZXNCI
206,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Grand Funk Railroad,863972,album rock; art rock; blues rock; classic rock; country rock; folk rock; hard rock; mellow gold; psychedelic rock; rock; soft rock; symphonic rock,58,artist,spotify:artist:0qEcf3SFlpRcb3lK3f2GZI
207,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Ted Nugent,1015539,acid rock; album rock; blues rock; classic rock; country rock; glam metal; hard rock; metal; rock; southern rock,55,artist,spotify:artist:21ysNsPzHdqYN2fQ75ZswG
208,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Joe Walsh,1064556,album rock; blues rock; classic rock; country rock; folk rock; hard rock; heartland rock; mellow gold; rock; roots rock; singer-songwriter; soft rock; southern rock; symphonic rock,57,artist,spotify:artist:5bDxAyJiTYBat1YnFJhvEK
209,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Black Oak Arkansas,128509,blues rock; classic rock; country rock; hard rock; southern rock,32,artist,spotify:artist:07xwCifj3iE7F6fYHin4TU
210,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,The J. Geils Band,708843,album rock; art rock; blues rock; classic rock; country rock; folk rock; hard rock; mellow gold; new wave pop; pop rock; rock; singer-songwriter; soft rock,59,artist,spotify:artist:69Mj3u4FTUrpyeGNSIaU6F
211,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Blackfoot,304052,album rock; blues rock; classic rock; country rock; hard rock; native american; rock; southern rock,45,artist,spotify:artist:10rzK0sLCXsUlDhl8ed0MV
212,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,The Outlaws,314264,album rock; blues rock; classic rock; country rock; hard rock; heartland rock; mellow gold; rock; soft rock; southern rock,46,artist,spotify:artist:72JEwd3EjDEwTLypkFYJn9
213,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Brownsville Station,42185,blues rock; classic rock; country rock; michigan indie; southern rock,34,artist,spotify:artist:67SxctqWYOGe8lthWjTDwu
214,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Rick Derringer,62206,blues rock; classic rock; southern rock,42,artist,spotify:artist:1FX4aA0cUcWndv39j1YoTm
215,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Humble Pie,295009,album rock; art rock; blues rock; british blues; classic rock; country rock; electric blues; folk rock; hard rock; proto-metal; psychedelic rock; rock; southern rock,45,artist,spotify:artist:2CxLP749mup3ncPrXgCnvU
216,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Pat Travers,79500,album rock; blues rock; classic rock; electric blues; hard rock; southern rock,32,artist,spotify:artist:0YEyuuhfdNXnTJh1uFhl3p
217,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Mountain,256151,album rock; blues rock; classic rock; country rock; hard rock; proto-metal; psychedelic rock,54,artist,spotify:artist:7LCp4MN0SOIVWlssid9KyE
218,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,George Thorogood & The Destroyers,767232,album rock; blues rock; classic rock; country rock; electric blues; hard rock; heartland rock; mellow gold; rock,60,artist,spotify:artist:4n31svBA9GGIYxGxgrQaRK
219,spotify:artist:6x33CmZWo2Ve4hxYl2Craq,Free,436653,album rock; art rock; blues rock; british blues; classic rock; country rock; electric blues; folk rock; hard rock; mellow gold; psychedelic rock; rock; symphonic rock,60,artist,spotify:artist:2e53aHBQdCMKWqHDuyJsjC
320,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Big Daddy Kane,466182,east coast hip hop; electro; gangster rap; golden age hip hop; hardcore hip hop; hip hop; hip house; old school hip hop; rap,49,artist,spotify:artist:6futYSDVulYR2PktBjTB5W
321,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Craig Mack,209579,gangster rap; hardcore hip hop; hip hop; hip pop; rap,49,artist,spotify:artist:4akj4uteQQrrGxhX9Rjuyf
322,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Das EFX,329195,east coast hip hop; gangster rap; hardcore hip hop; hip hop; rap; turntablism,56,artist,spotify:artist:0auu2itHTxEdAMRHvx7CyG
323,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Eric B. & Rakim,580964,alternative hip hop; bboy; east coast hip hop; gangster rap; golden age hip hop; hardcore hip hop; hip hop; hip house; old school hip hop; rap,53,artist,spotify:artist:6jHG1YQkqgojdEzerwvrVv
324,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Boogie Down Productions,283414,bronx hip hop; conscious hip hop; east coast hip hop; electro; gangster rap; golden age hip hop; hardcore hip hop; hip hop; hip house; old school hip hop; rap; turntablism,42,artist,spotify:artist:4toEjJSZu1rbfX2hfVdZFA
