Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
SISQO,6,2,2,1,0,Standard
SLIPKNOT,6,6,4,1,0,All types
SPIN DOCTORS,6,2,2,1,0,Standard
STEVEN CURTIS CHAPMAN,6,10,2,0,0,All types
TEDDY PENDERGRASS,6,8,4,0,0,Standard
THREE DAYS GRACE,6,3,3,2,0,All types
TRAVIS SCOTT,6,3,3,1,0,All types
WAR,6,10,2,0,0,Standard
WILSON PHILLIPS,6,2,2,1,0,Standard
112,5.5,4,3,2,0,Standard
ASIA,5.5,3,2,1,0,Standard
BLACKSTREET,5.5,3,2,1,0,Standard
CARMAN,5.5,9,2,0,0,Standard
CHARLEY PRIDE,5.5,11,0,0,0,Standard
CHRISTOPHER CROSS,5.5,2,1,1,0,Standard
COLLIN RAYE,5.5,6,5,0,0,Standard
DC TALK,5.5,6,3,1,0,Standard
DEANA CARTER,5.5,2,1,1,0,All types
DEBBIE GIBSON,5.5,3,2,2,0,Standard
DIAMOND RIO,5.5,8,3,0,0,All types
DJ JAZZY JEFF & FRESH PRINCE,5.5,5,2,1,0,Standard
EDDIE MONEY,5.5,5,4,1,0,Standard
GARY ALLAN,5.5,8,3,0,0,All types
GINUWINE,5.5,4,3,2,0,All types
JACK JOHNSON,5.5,5,4,1,0,All types
JASON MRAZ,5.5,4,3,1,0,All types
KRIS KROSS,5.5,3,2,1,0,Standard
LANA DEL REY,5.5,5,2,1,0,All types
LEE ANN WOMACK,5.5,5,2,1,0,All types
LOS TIGRES DEL NORTE,5.5,10,1,0,0,All types
MARC ANTHONY,5.5,6,1,1,0,All types
MAXWELL,5.5,5,4,1,0,All types
MERLE HAGGARD,5.5,8,3,0,0,Standard
MITCH MILLER & THE GANG,5.5,11,0,0,0,Standard
N.W.A.,5.5,4,3,1,0,All types
PHISH,5.5,9,2,0,0,Standard
ROB ZOMBIE,5.5,4,3,1,0,Standard
SANDI PATTI,5.5,8,3,0,0,Standard
SARA EVANS,5.5,6,3,1,0,All types
SHINEDOWN,5.5,6,3,1,0,All types
SMASH MOUTH,5.5,3,2,2,0,All types
SUGAR RAY,5.5,3,2,2,0,Standard
THE THREE TENORS,5.5,5,2,1,0,Standard
THIRD DAY,5.5,9,2,0,0,All types
YOUNG JEEZY,5.5,5,4,1,0,All types
A BOOGIE WIT DA HOODIE,5,4,4,1,0,All types
ADAM SANDLER,5,4,2,2,0,All types
ALAN PARSONS PROJECT,5,7,3,0,0,Standard
ALL-4-ONE,5,2,2,1,0,Standard
ASHANTI,5,3,3,1,0,All types
AVENGED SEVENFOLD,5,5,5,0,0,All types
BANGLES,5,3,3,1,0,Standard
BELL BIV DEVOE,5,3,1,1,0,Standard
BILLIE EILISH,5,2,2,1,0,All types
BLONDIE,5,4,4,1,0,Standard
BOW WOW,5,5,3,1,0,All types
C&C MUSIC FACTORY,5,1,1,1,0,Standard
CAMEO,5,9,1,0,0,Standard
CHARLIE RICH,5,3,1,1,0,Standard
CHRIS TOMLIN,5,8,2,0,0,All types
CLAY WALKER,5,6,4,0,0,Standard
COMMODORES,5,7,3,0,0,All types
DIANA KRALL,5,7,3,0,0,Standard
DIERKS BENTLEY,5,8,2,0,0,All types
DJ KHALED,5,4,4,1,0,All types
EN VOGUE,5,3,3,1,0,Standard
FERGIE,5,1,1,1,0,All types
FIVE FINGER DEATH PUNCH,5,7,3,0,0,All types
GEORGE THOROGOOD & THE DESTROYERS,5,8,2,0,0,Standard
GIN BLOSSOMS,5,2,2,1,0,Standard
HARRY STYLES,5,3,3,1,0,All types
JAY-Z & KANYE WEST,5,1,1,1,0,All types
JOE,5,4,2,1,0,Standard
K-CI & JOJO,5,3,3,1,0,Standard
KESHA,5,4,2,1,0,All types
LITTLE RIVER BAND,5,5,3,1,0,Standard
LUKE COMBS,5,2,2,2,0,All types
MACKLEMORE & RYAN LEWIS,5,1,1,1,0,All types
MASE,5,3,1,1,0,All types
MILEY CYRUS,5,3,3,1,0,All types
MILEY CYRUS AS HANNAH MONTANA,5,2,2,2,0,Standard
MYSTIKAL,5,5,3,1,0,Standard
QUINCY JONES,5,6,4,0,0,Standard
SHAWN MENDES,5,3,3,2,0,All types
THE BLACK KEYS,5,4,2,2,0,All types
THE CLASH,5,5,3,1,0,All types
THE FRAY,5,2,2,1,0,All types
THE JACKSONS,5,5,3,1,0,Standard
TIFFANY,5,2,2,1,0,Standard
TOM JONES,5,10,0,0,0,Standard
VANESSA WILLIAMS,5,4,2,1,0,Standard
VINCE GUARALDI TRIO,5,1,1,1,0,All types
A TRIBE CALLED QUEST,4.5,6,3,0,0,All types
AL JARREAU,4.5,7,2,0,0,Standard
