,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
,,,,,,
SHARE,,,,,,
THE STROKES,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE TIME,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE USED,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE WHITE STRIPES,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THEORY OF A DEADMAN,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOAD THE WET SPROCKET,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRAFFIC,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRIPPIE REDD,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRU,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TWISTA,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TYGA,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
UNCLE KRACKER,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WAYLON JENNINGS & WILLIE NELSON,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WHITE LION,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YG,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YOUNG THUG,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
2 CHAINZ,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
21 SAVAGE,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AFI,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AFTER 7,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AL HIRT,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AL STEWART,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AMY WINEHOUSE,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANTHONY HAMILTON,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ART GARFUNKEL,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ASHFORD & SIMPSON,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ATLANTA RHYTHM SECTION,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AVANT,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
B2K,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BABY EINSTEIN MUSIC BOX ORCHESTRA,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BEAVIS & BUTT-HEAD,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BELINDA CARLISLE,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BENEDICTINE MONKS-SANTO DE SIL,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BERLIN,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BIG PUNISHER,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY DEAN,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB CARLISLE,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRASS CONSTRUCTION,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRIAN SETZER ORCHESTRA,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BURT BACHARACH,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAGE THE ELEPHANT,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAM'RON,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAMILA CABELLO,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHEECH & CHONG,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHERRY POPPIN' DADDIES,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS LEDOUX,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CON FUNK SHUN,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CRASH TEST DUMMIES,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
D'ANGELO,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAFT PUNK,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEATH CAB FOR CUTIE,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIGITAL UNDERGROUND,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DJ CLUE,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DON MC LEAN,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DON WILLIAMS,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONNY & MARIE OSMOND,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DUA LIPA,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDDIE RABBITT,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDGAR WINTER GROUP,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDIE BRICKELL & NEW BOHEMIANS,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EIFFEL 65,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELLA MAI,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EMOTIONS,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERIC B. & RAKIM,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERIC CLAPTON & B.B. KING,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FETTY WAP,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIFTH HARMONY,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FILTER,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FINE YOUNG CANNIBALS,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIVE FOR FIGHTING,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FOSTER THE PEOPLE,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
G-UNIT,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GARY WRIGHT,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGE CARLIN,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GETO BOYS,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GORDON MACRAE,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GOTYE,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"GROVER WASHINGTON, JR.",2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
H.E.R.,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HAROLD MELVIN & THE BLUE NOTES,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOLE,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HUNTER HAYES,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACI VELASQUEZ,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMES BROWN,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAY-Z & LINKIN PARK,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAY-Z & R. KELLY,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JENNINGS / NELSON / COLTER / GLASER,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEREMY CAMP,2,4,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIM BRICKMAN,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOE WALSH,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN BERRY,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JON BON JOVI,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JONNY LANG,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOSS STONE,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUICE NEWTON,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KACEY MUSGRAVES,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KELLY PRICE,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KELSEA BALLERINI,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KEM,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY ROGERS & DOLLY PARTON,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KRIS KRISTOFFERSON,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
L.T.D.,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LADY GAGA & BRADLEY COOPER,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LAURA BRANIGAN,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LAUREN DAIGLE,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEVERT,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL' FLIP,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LORETTA LYNN,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOS LOBOS,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOS LONELY BOYS,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LSG,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LUPE FIASCO,2,4,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MANDY MOORE,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARTY STUART,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEGAN THEE STALLION,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHAEL CRAWFORD,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICKEY MOUSE,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MINISTRY,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MODEST MOUSE,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MORMON TABERNACLE CHOIR,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NATALIE IMBRUGLIA,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NAV,2,4,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NELSON,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEW FOUND GLORY,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEW ORDER,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OLIVIA NEWTON-JOHN & ELECTRIC LIGHT ORCHESTRA,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ONEREPUBLIC,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OZZY OSBOURNE & RANDY RHOADS,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PABLO CRUISE,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAUL REVERE & THE RAIDERS,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAULA COLE,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PERRY COMO,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PLAYBOI CARTI,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PLIES,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PRODIGY,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PUSSYCAT DOLLS,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RARE EARTH,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAY PRICE,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
REAL MC COY,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RESTLESS HEART,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICKIE LEE JONES,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBIN TROWER,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RODNEY CARRINGTON,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROSE ROYCE,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROXETTE,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUFUS & CHAKA KHAN,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SANDRA BOYNTON & MICHAEL FORD,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SCOTTY MCCREERY,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SERGIO MENDES & BRASIL '66,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAI,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SILKK THE SHOCKER,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SIMPLY RED,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SKRILLEX,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SLAYER,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SPYRO GYRA,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STRYPER,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUM 41,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SURVIVOR,2,2,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TERENCE TRENT D'ARBY,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THA DOGG POUND,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE COMMITMENTS,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CORRS,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE FOUR SEASONS,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE GAME,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE KID LAROI,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE KINKS,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE LETTERMEN,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE MAMAS & THE PAPAS,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE OSMONDS,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE ROOTS,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE SIMPSONS,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE TRACTORS,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TONE LOC,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TYRESE,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
UGLY KID JOE,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
URIAH HEEP,2,4,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VAMPIRE WEEKEND,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VELVET REVOLVER,2,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VERTICAL HORIZON,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VICENTE FERNANDEZ,2,4,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WHODINI,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WILLIE NELSON & FAMILY,2,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"WINANS, BEBE & CECE",2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WINGER,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
XZIBIT,2,3,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YING YANG TWINS,2,2,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YOLANDA ADAMS,2,3,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
30 SECONDS TO MARS,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
6IX9INE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
6LACK,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
702,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALABAMA SHAKES,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALEJANDRO FERNANDEZ,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANDY GRIFFITH,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
APRIL WINE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ARCTIC MONKEYS,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ARLO GUTHRIE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ATLANTIC STARR,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
B.B. KING,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
B.G.,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
B*WITCHED,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BAR-KAYS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BERT KAEMPFERT,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILL ENGVALL,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILL WITHERS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY VAUGHN,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLACK OAK ARKANSAS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLACKBEAR,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLACKBYRDS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLOODHOUND GANG,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB DYLAN & THE BAND,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB WELCH,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOBBY SHERMAN,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BONEY JAMES,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BONNIE TYLER,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOOGIE DOWN PRODUCTIONS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
C-MURDER,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CANDLE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CARL THOMAS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHILDISH GAMBINO,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRISTINA PERRI,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COLE SWINDELL,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COMMON,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CONWAY TWITTY & LORETTA LYNN,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COREY HART,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CRAIG DAVID,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CRUSADERS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CURTIS MAYFIELD,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"D. PARTON, L. RONSTADT, E. HARRIS",1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DADDY YANKEE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAN SEALS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DANITY KANE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DASHBOARD CONFESSIONAL,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID CROSBY & GRAHAM NASH,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID GRAY,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID GUETTA,1.5,3,0,0,0,All types
